,words,attribution
526,chi,0.050637481858189795
104,##pis,0.042544778046935475
114,sc,0.01989081960698582
183,nu,0.015614835583924257
504,exhaust,0.014257299167798339
184,##kes,0.01412706533512237
542,dec,0.013327503415867017
124,wo,0.012381219927272428
103,des,0.012285722548340101
525,regularly,0.012043690428574314
115,##ape,0.012028102803099018
168,bleeding,0.011414027772214954
132,",",0.008399133533858266
134,",",0.008399133533858266
260,toxic,0.008266633202372767
374,back,0.007813185811162374
543,##ele,0.007702827988808497
533,her,0.0071184474178673405
661,.,0.00690846081591965
505,##ingly,0.0067390532726962086
95,relentless,0.006244234555190714
527,##ded,0.005940172669523703
128,##ished,0.005914237806078771
375,off,0.00531013879952169
146,rebecca,0.005014966822767752
566,lebanon,0.0049223366025891845
269,st,0.004692036238216243
261,chemicals,0.004521930391675339
125,##es,0.004225685821842839
180,we,0.003778766389877451
746,pennsylvania,0.003768707381590996
370,does,0.003645809202091481
279,dissolved,0.0034419541661654626
96,##ly,0.0032792501753218218
34,guerrero,0.0031619911721512462
806,.,0.003103460395312142
577,him,0.003093421936896665
724,swarm,0.0030721296872199
659,under,0.003064940341246668
150,worst,0.00293475264750933
176,hit,0.0028613327173886934
210,di,0.002737937864945191
98,worship,0.002659840229479576
515,stall,0.0026595112941303596
775,perrin,0.0026012102232142688
50,their,0.00252141012837894
188,barrier,0.0025059229272551826
162,us,0.0024242205163713866
779,resources,0.0024149313194328195
660,pressure,0.002396068347609812
657,was,0.0023769798451985006
373,t,0.002376953430924628
173,range,0.002350822308369073
530,white,0.0023434141661683363
53,the,0.0023205207583457694
544,##ration,0.0022557796812562587
552,vegas,0.00224356593288732
324,far,0.0021642979473564905
82,europe,0.0021440185342262007
117,##ats,0.0021095783730952374
741,new,0.0021039397673394697
738,new,0.0021039397673394697
311,decent,0.002101855753403384
137,david,0.0020969107427056995
181,strike,0.0020716110219950574
157,loves,0.0020637783716836197
187,separation,0.0020428177442387173
258,not,0.0020107137083679896
576,earn,0.0019711803316411563
617,.,0.0019569593842464995
615,.,0.0019569593842464995
97,to,0.0019278980227572233
75,korea,0.0018819350873259442
111,korea,0.0018819350873259442
461,marsh,0.0018795826601846232
67,##ism,0.0018625160096579984
69,probably,0.0018613670210560248
191,now,0.0018434546957748535
172,easy,0.001821445468271439
151,option,0.001819746869979044
65,-,0.0018111273615299352
608,who,0.0018096847382403994
92,has,0.0017829141746595013
532,in,0.00176906819356006
108,japan,0.0016804956613529932
507,##rist,0.001660393368207469
70,a,0.0016573917275556848
54,tournament,0.0016523212881270975
336,born,0.0016256970555944797
762,said,0.0016157722084287154
534,preserves,0.0015954422201880326
771,tokyo,0.0015501065181368168
415,##er,0.0015349309916722381
81,communist,0.0015149230680913978
514,a,0.0015145923336236575
253,treatment,0.0014965835297757963
513,had,0.001443724028111534
804,town,0.0014009830071699363
94,drilled,0.0013892073052189297
529,using,0.0013703031221394637
79,was,0.0013702537659564169
658,coming,0.0013561752339964442
120,the,0.001356133972203255
113,the,0.001356133972203255
99,the,0.001356133972203255
90,the,0.001356133972203255
739,york,0.001347324720502796
153,-,0.0013469215657718034
152,-,0.0013469215657718034
158,-,0.0013469215657718034
159,-,0.0013469215657718034
369,iran,0.0013381535089160687
271,##tium,0.0013272018128883231
267,##tium,0.0013272018128883231
522,",",0.001321266456899743
509,",",0.001321266456899743
160,is,0.001313486904262859
337,.,0.0012508034731340803
304,.,0.0012508034731340803
100,kim,0.001232431362009963
230,built,0.0011970211551616161
144,##el,0.0011864114722452137
221,administrative,0.0011816287745801456
116,##go,0.001178788624522052
506,pu,0.0011683642480837008
782,.,0.0011632391063137516
601,these,0.0011595737382435558
358,issue,0.0011441093834242012
89,",",0.0011437591819741092
112,",",0.0011437591819741092
107,",",0.0011437591819741092
531,sugar,0.0011303029633933093
72,risk,0.0011067643203109846
294,the,0.0010798882907102952
314,the,0.0010798882907102952
508,##ic,0.001056513791008313
234,of,0.0010549081401145374
278,of,0.0010549081401145374
301,country,0.001035757600039789
299,to,0.0010261642482512635
707,character,0.0010211370771986195
439,##el,0.0010153876999100975
46,signed,0.0009995847431123013
393,##f,0.000992646244349573
59,march,0.0009781732369002888
539,showing,0.0009747084733517183
392,ha,0.0009693900894972012
511,when,0.0009656406665480179
164,stay,0.0009614980548927906
479,rr,0.0009586443028487194
496,rr,0.0009586443028487194
463,rr,0.0009586443028487194
450,rr,0.0009586443028487194
306,has,0.0009505244900258952
295,largest,0.000949818473596197
519,farmers,0.0009461086448545007
753,starting,0.0009429620592344181
628,this,0.0009404877146691003
