,words,attribution
847,furious,0.033047837681238784
644,police,0.016715441973989675
277,del,0.01352103187534143
939,confront,0.013293322916156652
74,.,0.011736175332355235
76,.,0.011736175332355235
924,card,0.01079093849603803
848,reaction,0.010165410667021217
445,.,0.009543771023530543
476,.,0.009543771023530543
455,.,0.009543771023530543
447,.,0.009543771023530543
654,reality,0.007714979135473407
765,circles,0.007255685899765242
679,iraq,0.007019272296618378
926,carrying,0.006599567869388732
273,car,0.006345041870250887
872,france,0.005775664934281081
416,israel,0.005763764884517388
492,b,0.0054911037347491806
110,##sport,0.005410320527263109
426,poured,0.005356826261455875
514,kicker,0.00511412795447372
927,conservative,0.004795831589759615
770,##isi,0.004682431231717496
278,##on,0.004483834063910431
274,##on,0.004483834063910431
855,face,0.004329323915451692
244,.,0.003950843897115
724,ricky,0.003914146957997347
854,her,0.0038956764105353646
636,organizers,0.0037893103864795057
633,people,0.0036428107145910307
701,##mere,0.0036380880297419427
361,arabia,0.003489203813739912
833,##bu,0.003349962551454299
358,those,0.0031848765629170703
41,since,0.003118045795877314
852,planted,0.002968420390013501
107,sites,0.0029423458121870137
921,encounter,0.002906028018235438
937,seriously,0.0027877399597070005
834,##ked,0.002761925322046213
579,united,0.002711794014958467
145,thoughts,0.0026902252339586702
736,eng,0.0026424923585918053
474,staten,0.002595262682019012
222,he,0.002480515595629211
290,my,0.0024558478468543104
409,industrial,0.0022825324877051825
126,to,0.002246777799299582
832,re,0.002222395514382759
247,was,0.002167762650216213
757,him,0.0021471650653683465
147,prayers,0.0021427740923975016
179,cr,0.002119920320024351
301,",",0.002100115541251203
425,money,0.002088766541818441
362,.,0.0020804702588449074
352,true,0.002076416489467798
79,for,0.001990300988309645
840,lunatic,0.001989268118246329
818,lunatic,0.001989268118246329
830,below,0.0019813483529455772
821,the,0.0019672821659695887
850,the,0.0019672821659695887
846,the,0.0019672821659695887
816,the,0.0019672821659695887
771,##ting,0.001966388665518719
680,over,0.0019292024456555
243,community,0.001917268317746896
862,recent,0.0019052868332153263
169,a,0.0019042002857057971
175,a,0.0019042002857057971
152,a,0.0019042002857057971
807,got,0.0018735933352057189
610,pro,0.0018657276229876328
651,by,0.0018547210437175712
360,saudi,0.00183219751188218
763,in,0.0018057298897040754
780,in,0.0018057298897040754
29,1992,0.0017655633732414882
295,manufacturing,0.0017543635444740783
853,on,0.0017229269068250897
303,me,0.0017092186510263845
581,security,0.0016601023961656353
452,monday,0.0016237895011136213
117,##ws,0.0015737775546856196
349,oil,0.0015706543058752573
513,backup,0.001563500083059657
537,trailing,0.0015282905068925625
517,prepared,0.0014936789619014853
356,would,0.0014792886556500488
628,1997,0.0014491996110739746
90,interactive,0.0014379474337942522
131,david,0.0014358668513985158
767,visiting,0.0014231346101192042
653,cold,0.0014112713541930507
737,##lewood,0.0013977468793397836
490,',0.0012905312442763005
498,',0.0012905312442763005
484,',0.0012905312442763005
485,',0.0012905312442763005
481,',0.0012905312442763005
491,',0.0012905312442763005
479,guns,0.0012898147538535026
678,leave,0.0012762994224988558
469,##itz,0.00127241971579885
459,##itz,0.00127241971579885
287,.,0.001269390062506267
284,.,0.001269390062506267
289,.,0.001269390062506267
750,a,0.0012530437626091795
827,she,0.001249887013128276
779,chicago,0.001240893102886784
252,1966,0.0012288157799396056
934,hall,0.0011662460270103045
613,march,0.0011651957944194523
777,york,0.0011610757496157485
584,possible,0.0011457652764810312
538,nebraska,0.0011422499266169864
898,water,0.0011365394451500455
69,04,0.0011195518103035362
647,planning,0.0011170895442097835
48,23,0.0011109454280112526
561,struggle,0.0011003862642398104
806,he,0.0010985606513513957
316,school,0.0010963334147896825
912,was,0.0010871656768325006
826,##a,0.0010831188898730942
917,from,0.001065306090346247
351,if,0.0010627586803723052
307,education,0.0010604761774002315
650,driven,0.0010585585422966306
57,street,0.0010566670823163342
512,texas,0.0010539862599952775
59,flat,0.0010536032728245606
259,clement,0.0010520090255139417
700,wood,0.0010229293554232766
344,billion,0.0010212030963055389
749,",",0.001004500972561062
766,",",0.001004500972561062
799,",",0.001004500972561062
796,",",0.001004500972561062
27,1981,0.0009957835792680546
774,boston,0.0009794794370936422
203,it,0.0009684463009572419
264,paul,0.0009654527458147867
265,bel,0.0009589746883364465
815,##s,0.0009564668609891833
867,new,0.0009500550878274387
925,-,0.0009488258666858027
909,-,0.0009488258666858027
908,-,0.0009488258666858027
458,##row,0.0009457894760631311
468,##row,0.0009457894760631311
508,fell,0.0009378601724969157
240,trans,0.000925061280808278
464,eileen,0.0009245112792363741
803,##rb,0.0009079344149228362
936,having,0.000897685419736434
164,##ers,0.0008788042260087009
860,at,0.0008573923076474142
930,seminar,0.0008560395263294351
526,first,0.0008525821672447582
478,the,0.0008458736665045387
511,the,0.0008458736665045387
488,the,0.0008458736665045387
894,and,0.0008435118342599653
900,and,0.0008435118342599653
56,22nd,0.0008176202670493857
331,promising,0.0008146892501387014
629,drew,0.0007764441121878571
530,with,0.0007759291516159999
933,dining,0.0007722826744545646
509,saturday,0.0007581041180372536
330,so,0.0007525112583690932
573,suspected,0.0007391089778781459
604,range,0.0007247995686565425
519,a,0.0007139718109662188
540,a,0.0007139718109662188
781,order,0.0007136406563545658
599,all,0.0007122052057415675
552,plans,0.0007092040252828771
527,in,0.0006818260358868846
790,for,0.0006708865134240646
741,tammy,0.0006683744945537419
665,",",0.0006630959971084212
667,",",0.0006630959971084212
548,confront,0.0006569499709588349
282,as,0.0006488975330028599
718,mod,0.0006427587588789613
677,to,0.0006420286379672019
842,',0.0006409313527482389
836,',0.0006409313527482389
820,',0.0006409313527482389
843,',0.0006409313527482389
839,',0.0006409313527482389
838,',0.0006409313527482389
102,##mi,0.0006381800455753217
81,##mi,0.0006381800455753217
328,in,0.0006240494286531115
502,##eak,0.0006222918465763362
180,##an,0.0006148465210530788
858,ge,0.0006138464570406139
856,by,0.0006108944832667058
655,that,0.0006087458357795475
536,team,0.0005954810767832578
87,formation,0.0005893555377371514
45,continues,0.0005778760321913331
760,around,0.0005766608271153505
672,poland,0.0005721276593730028
731,rr,0.0005710474388415768
713,rr,0.0005710474388415768
695,rr,0.0005710474388415768
154,article,0.0005665644446325673
229,future,0.0005641148691049501
480,n,0.0005623201834467917
911,it,0.0005555786887415471
866,in,0.0005530495665771986
819,fringe,0.0005526378387201015
841,fringe,0.0005526378387201015
329,fact,0.0005428243404030953
28,to,0.0005423705361834944
419,has,0.0005395874315124075
38,and,0.0005371388450959954
30,and,0.0005371388450959954
21,and,0.0005371388450959954
11,and,0.0005371388450959954
348,##able,0.0005324470075530155
398,existing,0.0005262350546540121
253,action,0.000523279257100322
412,this,0.0005208243549360749
378,this,0.0005208243549360749
557,opened,0.0005202750318114522
7,i,0.0005140862474989638
714,##b,0.000512861076187559
732,##b,0.000512861076187559
696,##b,0.000512861076187559
506,flu,0.0005121985751505761
682,months,0.0005099858245002065
60,##iro,0.0005071813292519894
784,build,0.0005048563795798819
899,##gate,0.0004984740070174145
366,intel,0.0004956014647423731
507,##rries,0.0004952934768227644
817,`,0.0004938926616474975
482,roses,0.000492140807650882
580,nations,0.0004916449430228674
249,made,0.0004895450900211907
8,worked,0.0004889118781794583
598,sweden,0.0004837232946278163
863,aids,0.0004835481628309475
906,ronald,0.0004784278517596596
10,residential,0.0004688620376474852
359,of,0.00046406830029418615
336,of,0.00046406830029418615
346,of,0.00046406830029418615
575,weapons,0.0004608761173292937
487,to,0.0004601738090108056
550,on,0.0004555833824399442
503,##ers,0.0004541054358465064
187,a,0.00044244754826791154
208,a,0.00044244754826791154
726,l,0.0004399082191251405
743,l,0.0004399082191251405
689,l,0.0004399082191251405
707,l,0.0004399082191251405
93,a,0.0004397651080240257
520,field,0.000438345498649736
443,",",0.00043793455181650846
431,",",0.00043793455181650846
473,",",0.00043793455181650846
460,",",0.00043793455181650846
448,",",0.00043793455181650846
367,corporation,0.0004368123082537775
804,-,0.00042961368864201637
788,-,0.00042961368864201637
753,-,0.00042961368864201637
787,-,0.00042961368864201637
801,-,0.00042961368864201637
809,-,0.00042961368864201637
216,law,0.0004293541780263956
664,ukraine,0.0004270965622628981
339,it,0.0004233742851209992
752,brooklyn,0.00041911695690334305
660,troops,0.0004186877553186456
386,.,0.0004169378586462948
555,administration,0.0004117295703387253
168,within,0.00040489414285641077
403,##tium,0.00040450030057390005
144,our,0.0003954117237845462
267,##o,0.00038291936298141436
913,almost,0.0003795898011920508
370,world,0.0003786137478273445
659,allied,0.00037398680034698875
272,leslie,0.0003735755640036086
281,douglas,0.000371576627300045
493,##lar,0.0003703409769160287
782,to,0.0003644812289547623
54,34,0.0003566002707407176
116,##ne,0.00035156256113522366
859,##re,0.00035108041576718444
391,a,0.0003484755411037252
184,england,0.0003405970602469534
214,rule,0.0003311429632321385
710,ge,0.00033103289802520507
489,jungle,0.0003253080839967941
238,and,0.0003172123924887294
212,and,0.0003172123924887294
313,fordham,0.00031553172760484484
556,has,0.00031135149811541683
861,a,0.00030129373392430865
392,new,0.0002961743439373807
565,china,0.00028998925604968383
522,goal,0.00028941924974425155
160,press,0.00028929912566282435
435,lo,0.000286578884110718
397,an,0.0002860566103574406
408,an,0.0002860566103574406
670,possibly,0.0002835697903569478
711,##ri,0.0002814926518084837
407,at,0.0002793190806215311
521,-,0.00027887429420491155
719,##ii,0.00027174402511986976
9,in,0.0002686932286635738
17,in,0.0002686932286635738
22,in,0.0002686932286635738
266,##mond,0.0002655337689524971
472,##brook,0.0002649144789992921
642,to,0.00025616350216066614
635,to,0.00025616350216066614
625,to,0.00025616350216066614
66,),0.00024880342223161737
915,to,0.0002471515448035019
938,to,0.0002471515448035019
197,reforms,0.00024322815742861695
547,to,0.0002424582615663689
568,to,0.0002424582615663689
334,hugo,0.00024120843806252004
256,directed,0.00022372057192109634
562,with,0.00022172135414611058
773,like,0.00022131238173413758
756,like,0.00022131238173413758
209,commitment,0.000219595094427387
646,the,0.00021253006147527864
658,the,0.00021253006147527864
239,the,0.0002113684820903822
225,the,0.0002113684820903822
213,the,0.0002113684820903822
234,the,0.0002113684820903822
534,and,0.00020875000172122262
504,and,0.00020875000172122262
94,unit,0.0002057494948097919
24,new,0.00019642992460586824
18,new,0.00019642992460586824
891,years,0.00019014253569962813
189,-,0.00018928302482773294
241,-,0.00018928302482773294
693,##rit,0.00018856963753137757
609,annual,0.00018507851107219233
385,3,0.0001845879996247393
615,the,0.0001845366578386936
643,the,0.0001845366578386936
608,the,0.0001845366578386936
192,caution,0.00018101339985616619
626,china,0.00017909953761282817
892,at,0.00017801043377304308
542,.,0.00017504231043573366
544,.,0.00017504231043573366
586,.,0.00017504231043573366
825,##lp,0.0001673172913907207
343,235,0.00016652789747704036
323,##ino,0.00016558204939463937
449,was,0.00016363642287014625
341,up,0.00015496170350201032
205,',0.00014834357160843392
204,',0.00014834357160843392
218,',0.00014834357160843392
219,',0.00014834357160843392
227,',0.00014834357160843392
231,',0.00014834357160843392
232,',0.00014834357160843392
245,',0.00014834357160843392
246,',0.00014834357160843392
671,even,0.00014658861701051035
483,song,0.00014503093048746698
377,announced,0.00014491609749628094
797,then,0.000138353523098206
800,then,0.000138353523098206
188,##3,0.00013229294094764868
932,a,0.0001303238745801989
923,a,0.0001303238745801989
929,a,0.0001303238745801989
785,an,0.00012831072638497902
125,.,0.00012642712393147207
118,.,0.00012642712393147207
112,.,0.00012642712393147207
123,.,0.00012642712393147207
802,l,0.0001182145989280818
335,chavez,0.00010629656427118943
223,believed,0.00010607030772902376
612,democracy,0.00010573709804667628
242,atlantic,0.00010299341949838551
627,in,8.786464326760427e-05
776,new,8.383783252986765e-05
751,new,8.383783252986765e-05
559,unusual,8.322123144528944e-05
486,welcome,7.687997604196637e-05
813,actress,7.579215444507462e-05
823,actress,7.579215444507462e-05
735,of,7.135241799513166e-05
717,of,7.135241799513166e-05
699,of,7.135241799513166e-05
686,of,7.135241799513166e-05
676,likely,6.411195086947263e-05
80,inter,5.8556980605699356e-05
101,inter,5.8556980605699356e-05
44,wilson,5.739307370074992e-05
64,(,4.5053796118965704e-05
402,pen,3.528279361214532e-05
814,blame,3.3323695724689054e-05
235,family,1.8104655469367804e-05
310,university,1.2153436920184962e-05
314,university,1.2153436920184962e-05
324,##co,1.1873359399129302e-05
84,immediately,1.1019006446839757e-05
195,on,1.0529467041329178e-05
230,lay,9.206393286123821e-06
340,contains,6.031796436114753e-06
404,4,9.946323158130502e-07
705,freddy,-2.863757699698004e-06
198,president,-4.588385014468965e-06
890,six,-9.465044775757575e-06
758,would,-1.0102700866449235e-05
907,reagan,-1.0943855588889718e-05
162,quoted,-1.1179107945531985e-05
333,president,-1.41703064529233e-05
190,9,-1.68419634899946e-05
171,years,-2.7895413887437465e-05
207,renew,-2.9907021427506257e-05
614,on,-3.0475544581019655e-05
193,##s,-3.057474626530659e-05
121,and,-3.2717833734151845e-05
320,",",-3.4281285675214034e-05
326,",",-3.4281285675214034e-05
353,",",-3.4281285675214034e-05
319,region,-3.6526124476930305e-05
415,southern,-3.945924517444047e-05
15,sales,-4.041333801079456e-05
681,coming,-4.064819162573093e-05
623,hong,-4.250232935265955e-05
191,bush,-4.273946694503058e-05
199,bush,-4.273946694503058e-05
603,impressive,-4.424303354403085e-05
12,commercial,-5.046524599523364e-05
692,do,-5.6346990707500506e-05
576,project,-5.660442731808095e-05
441,kato,-6.239124112420108e-05
456,steven,-6.268407446890229e-05
754,based,-6.546016964373211e-05
401,makes,-6.772592727747515e-05
158,newspaper,-7.627541636857499e-05
292,built,-7.71145739050723e-05
374,chip,-7.727267939819494e-05
877,roberts,-8.059978677298555e-05
211,democracy,-8.511102676334454e-05
