,words,attribution
186,tam,0.05396228638149852
206,scandal,0.04348537077355914
702,##umber,0.041694541848064606
739,##boy,0.04082051122881349
559,pretended,0.023378430258357098
390,##rim,0.022567703317252687
737,fl,0.022235069178646826
169,penal,0.020980174869597586
701,sl,0.018863708508148187
821,victims,0.017679518588215856
508,##tist,0.014984469662327662
540,##tist,0.014984469662327662
738,##am,0.013552826954061025
704,elephant,0.011544694385953578
389,rep,0.011382287397983415
391,##and,0.011257644758405757
237,iraq,0.010060139642535644
539,au,0.009719281174035031
507,au,0.009719281174035031
252,##bu,0.007802546448118424
375,shouted,0.0075680134125833375
253,##ked,0.0075124283021894885
542,couple,0.006628634552622179
876,luxembourg,0.006215264581655603
604,fe,0.005791540707802994
838,under,0.005649855321615043
380,##est,0.005530179055079716
299,trying,0.005454169750310603
843,##mus,0.005257285702951652
663,pakistan,0.005250807867870828
744,beat,0.004913281384527401
78,##cre,0.004804901543790386
231,saddam,0.004724603876628921
190,driver,0.004719461926923179
207,##ous,0.004475298761711386
698,look,0.004150412839093087
605,##cu,0.004144931144934274
606,##ndi,0.004100711120194667
607,##ty,0.004077587799270632
755,.,0.0038044414708938395
616,christian,0.0037501241748111648
143,revolt,0.0037231319852976392
266,crack,0.0036213382030968336
853,incentives,0.0034462772926049452
839,##fu,0.0034344663740367948
403,refusing,0.0033295835160167646
844,##cle,0.003302050196933171
138,villa,0.003271848944499844
170,##ize,0.0032100904311525235
601,displayed,0.0031816019688708395
778,dead,0.0031184864342680635
129,jewish,0.0030723686573329453
493,war,0.0030285619862483177
269,dissent,0.002905441811575804
725,refrigerator,0.002784867164383012
834,##ty,0.0027815465119086836
81,colorado,0.002685031926112638
278,muscle,0.002650818907590651
296,states,0.0025839626527981567
348,where,0.002564223717724878
833,spot,0.0025221064484199445
202,lobby,0.0024105460308057837
848,service,0.0023972203399127865
385,291,0.0023905532478365574
890,priests,0.002344980550677718
746,patriots,0.0023306319631310243
211,yesterday,0.0023089299083140875
753,super,0.0023057689851365536
696,it,0.0021414082127866794
236,in,0.0021168407613926673
212,in,0.0021168407613926673
664,.,0.0021042757401944817
625,.,0.0021042757401944817
814,lebanese,0.002082573032944804
73,texas,0.002048278586625756
218,kick,0.0020041907612461827
592,gospel,0.00191421250983809
339,yorker,0.0019118285240034996
671,way,0.0019034187768556215
752,1986,0.0018549109525832581
709,of,0.0018369243188843525
699,of,0.0018369243188843525
683,of,0.0018369243188843525
614,aimed,0.0018348870931443283
731,were,0.0017564839189545527
379,loud,0.0017334636615967773
205,a,0.0016886665228731611
200,a,0.0016886665228731611
743,still,0.0016885535612059545
166,government,0.0016637196817124323
927,late,0.0016184705579042225
401,dismissal,0.0016151974616057689
422,s,0.0015918437208615208
440,s,0.0015918437208615208
859,their,0.0015807017762523336
349,fernando,0.0015539172180720584
567,right,0.001520120636277039
219,##backs,0.0015166683431517259
649,maj,0.0015027912380816736
265,its,0.001501546899377514
256,its,0.001501546899377514
249,officials,0.0015008312394426157
60,.,0.001497360645087997
69,.,0.001497360645087997
46,.,0.001497360645087997
75,.,0.001497360645087997
40,.,0.001497360645087997
33,.,0.001497360645087997
53,.,0.001497360645087997
158,secretary,0.0014865756175573668
198,trader,0.0014785860309620986
555,laurie,0.0014719076916921456
717,mcmahon,0.001468240209012515
86,",",0.001446504659347009
93,",",0.001446504659347009
118,",",0.001446504659347009
108,",",0.001446504659347009
473,waters,0.0014359413698501367
413,school,0.0014342814282461566
215,illegal,0.0014328861202485149
578,tainted,0.0014226272752798548
615,at,0.001403298228207813
333,thousands,0.0013325213098825965
165,federal,0.0013306791423625512
272,they,0.0012869186052948225
901,sending,0.0012592792045266659
359,polls,0.0012347706300052793
141,a,0.0012064448401206337
176,a,0.0012064448401206337
148,a,0.0012064448401206337
157,security,0.001162437895329838
182,issuing,0.0011584439345285785
518,current,0.0011440307184574705
732,among,0.0011393144762365148
770,editor,0.0011338268603713543
492,world,0.0011321481104085527
437,his,0.0011029970853066893
412,at,0.0010926252495972253
742,and,0.0010809221236282205
718,and,0.0010809221236282205
178,2008,0.0010710791560633321
152,modify,0.0010687240055386553
854,for,0.0010637053102809987
197,oil,0.0010598539797928698
224,oil,0.0010598539797928698
669,on,0.0010534978167692046
705,on,0.0010534978167692046
223,nations,0.0010429851493705237
295,united,0.0010353218975986155
177,may,0.0010288435622891458
328,may,0.0010279199126796547
411,flag,0.001025837427607533
291,sea,0.001022723034432967
150,effort,0.001018823816205522
344,route,0.0010081817871211525
201,korean,0.0010035844748283952
667,##rs,0.0009968915512211269
477,russia,0.000987545722234013
661,lives,0.000980439036646544
245,cheney,0.0009775161748171524
183,new,0.0009761303741544379
126,has,0.0009476375530708596
117,arsenal,0.0009412599800244577
340,##s,0.0009348638984181466
645,the,0.0009345123828318661
613,books,0.0009307274678407482
449,friedman,0.0009302392721067887
488,the,0.0009268040317533888
484,the,0.0009268040317533888
480,the,0.0009268040317533888
203,##ist,0.0009255711561776806
395,last,0.0009129879672807983
670,their,0.0009105253134259033
217,and,0.0009049545646827579
199,and,0.0009049545646827579
222,united,0.0008972375890727781
452,gi,0.000892847293537927
858,shift,0.0008907912522312308
747,by,0.0008806307482266284
181,start,0.0008674031306321683
481,boundaries,0.0008660991575428499
442,",",0.0008563557776065954
384,",",0.0008563557776065954
431,",",0.0008563557776065954
425,",",0.0008563557776065954
273,say,0.0008434019087377989
713,chicago,0.000827699206890304
694,##line,0.000813489704812465
811,israeli,0.0008092905469242538
869,haven,0.0008051510034069367
451,luis,0.0007898788808839541
235,regime,0.0007849560318889183
410,sun,0.0007807838576243177
275,an,0.0007788427970181442
130,fan,0.000772192795549636
726,-,0.0007580286998231965
729,-,0.0007580286998231965
720,-,0.0007580286998231965
723,-,0.0007580286998231965
409,-,0.0007475381173709925
17,nuclear,0.0007399925060330164
715,of,0.00073633974500762
408,rising,0.0007355879067661491
364,fr,0.0007275289810669378
809,sympathetic,0.0007240845959712715
284,and,0.0007127414093191959
270,and,0.0007127414093191959
246,and,0.0007127414093191959
309,finished,0.0006986704367403429
472,john,0.00069856351151037
805,we,0.0006839202721559978
587,ex,0.000676140041664773
535,radha,0.0006729892818009734
505,',0.0006603589294250775
503,',0.0006603589294250775
556,',0.0006603589294250775
552,',0.0006603589294250775
502,',0.0006603589294250775
551,',0.0006603589294250775
511,',0.0006603589294250775
545,',0.0006603589294250775
544,',0.0006603589294250775
510,',0.0006603589294250775
519,',0.0006603589294250775
520,',0.0006603589294250775
525,',0.0006603589294250775
524,',0.0006603589294250775
361,sprinted,0.0006510172175770547
